year,a,b,c
2002,370533900,52921115,11859699
2003,389867361,50509424,13181559
2004,405232051,52268699,14775275
2005,427167462,54222129,15592561
2006,451487812,58808961,16351732
2007,478174091,64065052,17613234
2008,506771415,68653127,17750474
2009,517708299,68044563,19103480
2010,523282718,59356069,19303431
2011,524438717,52341659,19494099
2012,523962696,50153239,19702355
